source,target,regex,type,code,match,hits,title
"/scoreboard-stat-count/","https://next.napoan.com/scoreboard-stat-count","0","url","301","url","0",""
"/right-click-item/","https://next.napoan.com/right-click-item","0","url","301","url","0",""
"/pe-summon-command-guide/","https://next.napoan.com/pe-summon-command-guide","0","url","301","url","0",""
"/pe-time-weather-command-guide/","https://next.napoan.com/pe-time-weather-command-guide","0","url","301","url","0",""
"/pe-jungle-temple-seeds/","https://next.napoan.com/pe-jungle-temple-seeds","0","url","301","url","0",""
"/pe-igloo-seeds/","https://next.napoan.com/pe-igloo-seeds","0","url","301","url","0",""
"/pe-howtojoin-10-beta/","https://next.napoan.com/pe-howtojoin-10-beta","0","url","301","url","0",""
"/pe-command-testfor-message/","https://next.napoan.com/pe-command-testfor-message","0","url","301","url","0",""
"/pe-candestroy-canplaceon-command/","https://next.napoan.com/pe-candestroy-canplaceon-command","0","url","301","url","0",""
"/pc-version11-mods-matome/","https://next.napoan.com/pc-version11-mods-matome","0","url","301","url","0",""
"/pc-newway-tobuy/","https://next.napoan.com/pc-newway-tobuy","0","url","301","url","0",""
"/pc-113-gamemode-command/","https://next.napoan.com/pc-113-gamemode-command","0","url","301","url","0",""
"/pc-112-functions-guide/","https://next.napoan.com/pc-112-functions-guide","0","url","301","url","0",""
"/one-command-build-and-share/","https://next.napoan.com/one-command-build-and-share","0","url","301","url","0",""
"/obs-iphone-mac/","https://next.napoan.com/obs-iphone-mac","0","url","301","url","0",""
"/mobile-switch-world-transfer/","https://next.napoan.com/mobile-switch-world-transfer","0","url","301","url","0",""
"/minimap-battle/","https://next.napoan.com/minimap-battle","0","url","301","url","0",""
"/mcbe-scoreboard-guide/","https://next.napoan.com/mcbe-scoreboard-guide","0","url","301","url","0",""
"/mcbe-fill-syntax-guide/","https://next.napoan.com/mcbe-fill-syntax-guide","0","url","301","url","0",""
"/je-mods-matome-for-112/","https://next.napoan.com/je-mods-matome-for-112","0","url","301","url","0",""
"/java-debug-stick-usage/","https://next.napoan.com/java-debug-stick-usage","0","url","301","url","0",""
"/bedrock-update-121/","https://next.napoan.com/bedrock-update-121","0","url","301","url","0",""
"/bedrock-multiplayer-permission/","https://next.napoan.com/bedrock-multiplayer-permission","0","url","301","url","0",""
"/bedrock-command-words-pickup/","https://next.napoan.com/bedrock-command-words-pickup","0","url","301","url","0",""
"/33712311-2/","https://next.napoan.com/33712311-2","0","url","301","url","0",""
"/2018-upcoming-updates/","https://next.napoan.com/2018-upcoming-updates","0","url","301","url","0",""
"/33740384-2/","https://next.napoan.com/33740384-2","0","url","301","url","0",""
"/35484205-2/","https://next.napoan.com/35484205-2","0","url","301","url","0",""
"/2016-april-netabarashi/","https://next.napoan.com/2016-april-netabarashi","0","url","301","url","0",""
"/33644258-2/","https://next.napoan.com/33644258-2","0","url","301","url","0",""
"/33771731-2/","https://next.napoan.com/33771731-2","0","url","301","url","0",""
"/36086441-2/","https://next.napoan.com/36086441-2","0","url","301","url","0",""
"/36155041-2/","https://next.napoan.com/36155041-2","0","url","301","url","0",""
"/36251908-2/","https://next.napoan.com/36251908-2","0","url","301","url","0",""
"/36325967-2/","https://next.napoan.com/36325967-2","0","url","301","url","0",""
"/36814689-2/","https://next.napoan.com/36814689-2","0","url","301","url","0",""
"/36662546-2/","https://next.napoan.com/36662546-2","0","url","301","url","0",""
"/36229893-2/","https://next.napoan.com/36229893-2","0","url","301","url","0",""
"/36839671-2/","https://next.napoan.com/36839671-2","0","url","301","url","0",""
"/36862291-2/","https://next.napoan.com/36862291-2","0","url","301","url","0",""
"/36907955-2/","https://next.napoan.com/36907955-2","0","url","301","url","0",""
"/36887784-2/","https://next.napoan.com/36887784-2","0","url","301","url","0",""
"/36995974-2/","https://next.napoan.com/36995974-2","0","url","301","url","0",""
"/36997998-2/","https://next.napoan.com/36997998-2","0","url","301","url","0",""
"/37165266-2/","https://next.napoan.com/37165266-2","0","url","301","url","0",""
"/37039136-2/","https://next.napoan.com/37039136-2","0","url","301","url","0",""
"/37125701-2/","https://next.napoan.com/37125701-2","0","url","301","url","0",""
"/37167848-2/","https://next.napoan.com/37167848-2","0","url","301","url","0",""
"/37272766-2/","https://next.napoan.com/37272766-2","0","url","301","url","0",""
"/37357612-2/","https://next.napoan.com/37357612-2","0","url","301","url","0",""
"/37188511-2/","https://next.napoan.com/37188511-2","0","url","301","url","0",""
"/37427805-2/","https://next.napoan.com/37427805-2","0","url","301","url","0",""
"/37553953-2/","https://next.napoan.com/37553953-2","0","url","301","url","0",""
"/37672384-2/","https://next.napoan.com/37672384-2","0","url","301","url","0",""
"/37688781-2/","https://next.napoan.com/37688781-2","0","url","301","url","0",""
"/37862270-2/","https://next.napoan.com/37862270-2","0","url","301","url","0",""
"/37767836-2/","https://next.napoan.com/37767836-2","0","url","301","url","0",""
"/37723371-2/","https://next.napoan.com/37723371-2","0","url","301","url","0",""
"/37823841-2/","https://next.napoan.com/37823841-2","0","url","301","url","0",""
"/37903717-2/","https://next.napoan.com/37903717-2","0","url","301","url","0",""
"/37942287-2/","https://next.napoan.com/37942287-2","0","url","301","url","0",""
"/37976968-2/","https://next.napoan.com/37976968-2","0","url","301","url","0",""
"/38019693-2/","https://next.napoan.com/38019693-2","0","url","301","url","0",""
"/38033944-2/","https://next.napoan.com/38033944-2","0","url","301","url","0",""
"/38134601-2/","https://next.napoan.com/38134601-2","0","url","301","url","0",""
"/38156378-2/","https://next.napoan.com/38156378-2","0","url","301","url","0",""
"/38244700-2/","https://next.napoan.com/38244700-2","0","url","301","url","0",""
"/38176145-2/","https://next.napoan.com/38176145-2","0","url","301","url","0",""
"/38269970-2/","https://next.napoan.com/38269970-2","0","url","301","url","0",""
"/38309380-2/","https://next.napoan.com/38309380-2","0","url","301","url","0",""
"/38099683-2/","https://next.napoan.com/38099683-2","0","url","301","url","0",""
"/38400091-2/","https://next.napoan.com/38400091-2","0","url","301","url","0",""
"/38423852-2/","https://next.napoan.com/38423852-2","0","url","301","url","0",""
"/38498324-2/","https://next.napoan.com/38498324-2","0","url","301","url","0",""
"/38512603-2/","https://next.napoan.com/38512603-2","0","url","301","url","0",""
"/38512887-2/","https://next.napoan.com/38512887-2","0","url","301","url","0",""
"/38548275-2/","https://next.napoan.com/38548275-2","0","url","301","url","0",""
"/38609878-2/","https://next.napoan.com/38609878-2","0","url","301","url","0",""
